clip_id,model,stem,start_sec,end_sec,source_path,output_path
whitney_70_76p5,MDX23C_TFC_TDF_UNet,acc,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/MDX23C_TFC_TDF_UNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/acc.wav,/private/users/baowenxin/compare/whitney_70_76p5/MDX23C_TFC_TDF_UNet_acc.wav
whitney_70_76p5,SCNet,vocals,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/SCNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/vocals.wav,/private/users/baowenxin/compare/whitney_70_76p5/SCNet_vocals.wav
whitney_70_76p5,SCNet,acc,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/SCNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/acc.wav,/private/users/baowenxin/compare/whitney_70_76p5/SCNet_acc.wav
whitney_70_76p5,streaming_Apollo,vocals,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_Apollo/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/vocals.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_Apollo_vocals.wav
whitney_70_76p5,streaming_Apollo,acc,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_Apollo/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/acc.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_Apollo_acc.wav
whitney_70_76p5,streaming_BandIt_BSRNN,vocals,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_BandIt_BSRNN/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/vocals.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_BandIt_BSRNN_vocals.wav
whitney_70_76p5,streaming_BandIt_BSRNN,acc,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_BandIt_BSRNN/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/acc.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_BandIt_BSRNN_acc.wav
whitney_70_76p5,streaming_demucs,vocals,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_demucs/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/vocals.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_demucs_vocals.wav
whitney_70_76p5,streaming_demucs,acc,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_demucs/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/acc.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_demucs_acc.wav
whitney_70_76p5,streaming_DTTNet,vocals,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_DTTNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/vocals.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_DTTNet_vocals.wav
whitney_70_76p5,streaming_DTTNet,acc,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_DTTNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/acc.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_DTTNet_acc.wav
whitney_70_76p5,streaming_MDX23C_TFC_TDF_UNet,vocals,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_MDX23C_TFC_TDF_UNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/vocals.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_MDX23C_TFC_TDF_UNet_vocals.wav
whitney_70_76p5,streaming_MDX23C_TFC_TDF_UNet,acc,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_MDX23C_TFC_TDF_UNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/acc.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_MDX23C_TFC_TDF_UNet_acc.wav
whitney_70_76p5,streaming_SCNet,vocals,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_SCNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/vocals.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_SCNet_vocals.wav
whitney_70_76p5,streaming_SCNet,acc,70.0,76.5,/private/users/baowenxin/流式/transsion_outputs/streaming_SCNet/R&B/Whitney Houston - I Will Always Love You (Lyrics) [-aZXKvm32JI]m4a/acc.wav,/private/users/baowenxin/compare/whitney_70_76p5/streaming_SCNet_acc.wav
malaika_27_35,mix,mixture,27.0,35.0,/private/MusicSep/transsion/test_transsion/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a.wav,/private/users/baowenxin/compare/malaika_27_35/00_mix.wav
malaika_27_35,ours,vocals,27.0,35.0,/private/users/baowenxin/restore/conformer/transsion999/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/01_ours_vocals.wav
malaika_27_35,ours,acc,27.0,35.0,/private/users/baowenxin/restore/conformer/transsion999/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/01_ours_acc.wav
